"MUNICIPIO";"ANOMES";"FATO";"QTDE"
"ACEGUA";"2006-01";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2006-01";"Furtos";"4"
"ACEGUA";"2006-02";"Furtos";"6"
"ACEGUA";"2006-03";"Estelionato";"1"
"ACEGUA";"2006-03";"Furtos";"5"
"ACEGUA";"2006-04";"Estelionato";"2"
"ACEGUA";"2006-04";"Furtos";"4"
"ACEGUA";"2006-05";"Estelionato";"1"
"ACEGUA";"2006-05";"Furtos";"2"
"ACEGUA";"2006-06";"Delitos relacionados a armas e muniçoes";"1"
"ACEGUA";"2006-06";"Furtos";"2"
"ACEGUA";"2006-07";"Estelionato";"1"
"ACEGUA";"2006-07";"Furtos";"4"
"ACEGUA";"2006-08";"Furtos";"2"
"ACEGUA";"2006-09";"Furtos";"3"
"ACEGUA";"2006-10";"Estelionato";"1"
"ACEGUA";"2006-10";"Furtos";"6"
"ACEGUA";"2006-10";"Roubos";"1"
"ACEGUA";"2006-11";"Estelionato";"5"
"ACEGUA";"2006-11";"Furtos";"2"
"ACEGUA";"2006-12";"Furtos";"2"
"AGUA SANTA";"2006-01";"Furtos";"2"
"AGUA SANTA";"2006-02";"Furtos";"4"
"AGUA SANTA";"2006-03";"Furtos";"4"
"AGUA SANTA";"2006-04";"Furto de veículo";"1"
"AGUA SANTA";"2006-04";"Furtos";"1"
"AGUA SANTA";"2006-05";"Furtos";"2"
"AGUA SANTA";"2006-06";"Furtos";"3"
"AGUA SANTA";"2006-07";"Furto de veículo";"1"
"AGUA SANTA";"2006-07";"Furtos";"3"
"AGUA SANTA";"2006-08";"Delitos relacionados a armas e muniçoes";"1"
"AGUA SANTA";"2006-08";"Furto de veículo";"2"
"AGUA SANTA";"2006-08";"Furtos";"3"
"AGUA SANTA";"2006-09";"Furtos";"9"
"AGUA SANTA";"2006-10";"Furtos";"1"
"AGUA SANTA";"2006-11";"Entorpecentes - Tráfico";"1"
"AGUA SANTA";"2006-12";"Furtos";"1"
"AGUDO";"2006-01";"Estelionato";"1"
"AGUDO";"2006-01";"Furtos";"14"
"AGUDO";"2006-02";"Delitos relacionados a armas e muniçoes";"1"
"AGUDO";"2006-02";"Estelionato";"4"
"AGUDO";"2006-02";"Furtos";"7"
"AGUDO";"2006-03";"Estelionato";"3"
