MUNICIPIO;ANOMES;FATO;QTDE
ACEGUA;2012-01;Furtos;6
ACEGUA;2012-01;Outros;15
ACEGUA;2012-02;Furtos;3
ACEGUA;2012-02;Outros;13
ACEGUA;2012-03;Delitos Relacionados à Armas e Munições;1
ACEGUA;2012-03;Furtos;4
ACEGUA;2012-03;Outros;14
ACEGUA;2012-04;Furtos;4
ACEGUA;2012-04;Outros;15
ACEGUA;2012-05;Delitos Relacionados à Armas e Munições;1
ACEGUA;2012-05;Estelionato;1
ACEGUA;2012-05;Furtos;5
ACEGUA;2012-05;Outros;18
ACEGUA;2012-06;Delitos Relacionados à Armas e Munições;1
ACEGUA;2012-06;Furtos;4
ACEGUA;2012-06;Outros;16
ACEGUA;2012-07;Furtos;3
ACEGUA;2012-07;Outros;13
ACEGUA;2012-08;Furtos;5
ACEGUA;2012-08;Outros;13
ACEGUA;2012-09;Furtos;8
ACEGUA;2012-09;Outros;11
ACEGUA;2012-10;Furtos;2
ACEGUA;2012-10;Outros;16
ACEGUA;2012-11;Furtos;7
ACEGUA;2012-11;Outros;11
ACEGUA;2012-12;Delitos Relacionados à Armas e Munições;1
ACEGUA;2012-12;Furtos;3
ACEGUA;2012-12;Outros;14
AGUA SANTA;2012-01;Furtos;3
AGUA SANTA;2012-01;Outros;13
AGUA SANTA;2012-02;Furtos;2
AGUA SANTA;2012-02;Outros;9
AGUA SANTA;2012-03;Estelionato;1
AGUA SANTA;2012-03;Furtos;2
AGUA SANTA;2012-03;Outros;10
AGUA SANTA;2012-04;Furtos;4
AGUA SANTA;2012-04;Outros;10
AGUA SANTA;2012-05;Furtos;3
AGUA SANTA;2012-05;Outros;9
AGUA SANTA;2012-06;Furtos;5
AGUA SANTA;2012-06;Outros;6
AGUA SANTA;2012-07;Estelionato;1
AGUA SANTA;2012-07;Furtos;14
AGUA SANTA;2012-07;Outros;6
AGUA SANTA;2012-08;Furtos;4
AGUA SANTA;2012-08;Outros;12
AGUA SANTA;2012-09;Delitos Relacionados à Armas e Munições;2
AGUA SANTA;2012-09;Furtos;3
AGUA SANTA;2012-09;Outros;5
AGUA SANTA;2012-10;Furtos;2
AGUA SANTA;2012-10;Outros;11
AGUA SANTA;2012-11;Furtos;1
AGUA SANTA;2012-11;Outros;7
AGUA SANTA;2012-12;Furtos;3
AGUA SANTA;2012-12;Outros;11
AGUDO;2012-01;Entorpecentes - Posse;1
AGUDO;2012-01;Entorpecentes - Tráfico;1
AGUDO;2012-01;Estelionato;1
AGUDO;2012-01;Furto de Veículo;2
AGUDO;2012-01;Furtos;10
AGUDO;2012-01;Outros;76
AGUDO;2012-02;Estelionato;1
AGUDO;2012-02;Furtos;7
AGUDO;2012-02;Outros;45
AGUDO;2012-03;Delitos Relacionados à Armas e Munições;1
AGUDO;2012-03;Estelionato;2
AGUDO;2012-03;Furtos;22
AGUDO;2012-03;Outros;61
AGUDO;2012-03;Roubos;1
AGUDO;2012-04;Delitos Relacionados à Armas e Munições;1
AGUDO;2012-04;Estelionato;1
AGUDO;2012-04;Furtos;5
AGUDO;2012-04;Outros;62
AGUDO;2012-05;Delitos Relacionados à Armas e Munições;5
AGUDO;2012-05;Entorpecentes - Posse;1
AGUDO;2012-05;Entorpecentes - Tráfico;1
AGUDO;2012-05;Estelionato;2
AGUDO;2012-05;Furto de Veículo;1
AGUDO;2012-05;Furtos;12
AGUDO;2012-05;Outros;55
AGUDO;2012-05;Roubos;3
AGUDO;2012-06;Furto de Veículo;1
AGUDO;2012-06;Furtos;14
AGUDO;2012-06;Outros;44
AGUDO;2012-06;Roubos;1
AGUDO;2012-07;Delitos Relacionados à Armas e Munições;1
AGUDO;2012-07;Estelionato;1
AGUDO;2012-07;Furtos;12
AGUDO;2012-07;Homicídio Doloso;1
AGUDO;2012-07;Outros;64
